"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Huperzia selago-type","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"cf. Taxus canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Dennstaedtia","NISP","spore",NA,"Vascular plants","VACR","Dennstaedtia",NA
"Zea","NISP","pollen",NA,"Vascular plants","UPHE","Zea",NA
"Solanum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Unknown (diporate)","NISP","spore",NA,"Unidentified","UNID",NA,NA
"Clusiaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Campanula","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Scrophulariaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Trifolium-type","NISP","pollen",NA,"Vascular plants","UPHE","Trifolium-type",NA
"Cystopteris","NISP","spore",NA,"Vascular plants","VACR","Cystopteris",NA
"Lysimachia","NISP","pollen",NA,"Vascular plants","UPHE","Lysimachia",NA
"Trientalis","NISP","pollen",NA,"Vascular plants","UPHE","Trientalis",NA
"Polygonum sensu lato undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Polygonum sensu lato undiff.",NA
"Lycopodiella inundata","NISP","spore",NA,"Vascular plants","VACR","Lycopodiella inundata",NA
"Pinus det. P. banksiana/P. resinosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pinus det. P. strobus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polypodiophyta (monolete) undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Lamiaceae cf. Stachys","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Saxifragaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Euphorbiaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Polypodiophyta (trilete)","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Rubus chamaemorus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Rhamnus alnifolia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Prunus americana-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rhododendron subsect. Ledum/Chamaedaphne calyculata","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Gaultheria procumbens","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Polypodiophyta","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Bryopsida","NISP","spore",NA,"Bryophytes","UPBR",NA,NA
"Prunus/Sorbus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Malvaceae sensu stricto","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Plantago lanceolata","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Vaccinium","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Typha angustifolia/Sparganium","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Elaeagnaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rosaceae trees","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Saxifragaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pyrus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Gentianaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Unknown undiff.","NISP","spore","anachronic","Unidentified","UNID",NA,NA
"Pteridophyta undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Spiraea-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Oxyria digyna","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Woodsia","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Geum-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Boraginaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Koenigia islandica","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pterocarya","NISP","pollen","anachronic","Vascular plants","TRSH",NA,NA
"Campanulaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Decodon verticillatus","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"cf. Rhamnus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Geranium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Rumex","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Shepherdia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Nymphaea","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Cannabaceae cf. Humulus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Eriogonum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Ilex","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Geranium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Rhus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Rhamnaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Dryopteris campyloptera","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Laportea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Onoclea sensibilis","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Melilotus-type","NISP","pollen",NA,"Vascular plants","UPHE","Melilotus-type",NA
"Polypodium-type","NISP","spore",NA,"Vascular plants","VACR","Polypodium-type",NA
"Eucalyptus","NISP","pollen",NA,"Vascular plants","TRSH","Eucalyptus",NA
"Gymnocarpium","NISP","spore",NA,"Vascular plants","VACR","Gymnocarpium",NA
"Oxytropis","NISP","pollen",NA,"Vascular plants","UPHE","Oxytropis",NA
"Linnaea borealis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Diphasiastrum tristachyum","NISP","spore",NA,"Vascular plants","VACR","Diphasiastrum tristachyum",NA
"Anemone-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cannabis sativa","NISP","pollen",NA,"Vascular plants","UPHE","Cannabis sativa",NA
"cf. Lysimachia thyrsiflora","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"cf. Cephalanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Impatiens capensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ranunculaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Tidestromia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Ophioglossum cf. O. vulgatum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Ranunculus subg. Batrachium","NISP","pollen",NA,"Vascular plants","AQVP","Ranunculus subg. Batrachium",NA
"Fabaceae cf. Melilotus officinalis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fabaceae cf. Trifolium","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Myriophyllum verticillatum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Claytosmunda claytoniana","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Rhynchospora alba","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Lycopodiaceae cf. Lycopodium clavatum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Phacelia hastata-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Fungi","NISP","spore",NA,"Fungi","FUNG",NA,NA
"Eucalyptus tablets","grains/g","concentration",NA,"Laboratory analyses","LABO","Eucalyptus tablets|concentration|grains/g",NA
"Botryococcus","NISP","colony",NA,"Algae","ALGA","Botryococcus",NA
"Dryas","NISP","pollen",NA,"Vascular plants","UPHE","Dryas",NA
"Empetrum","NISP","pollen",NA,"Vascular plants","TRSH","Empetrum",NA
"Saxifraga oppositifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Saxifraga oppositifolia-type",NA
"Dryopteris carthusiana","NISP","spore",NA,"Vascular plants","VACR","Dryopteris carthusiana",NA
"Dryopteris goldiana","NISP","spore",NA,"Vascular plants","VACR","Dryopteris goldiana",NA
"Rhynchospora","NISP","pollen",NA,"Vascular plants","AQVP","Rhynchospora",NA
"Selaginella densa-type","NISP","spore",NA,"Vascular plants","VACR","Selaginella densa-type",NA
"Acer pensylvanicum","NISP","pollen",NA,"Vascular plants","TRSH","Acer pensylvanicum",NA
"Triglochin","NISP","pollen",NA,"Vascular plants","AQVP","Triglochin",NA
"Unknown (monolete) undiff.","NISP","spore",NA,"Unidentified","UNID","Unknown (monolete) undiff.",NA
"Bistorta vivipara-type","NISP","pollen",NA,"Vascular plants","UPHE","Bistorta vivipara-type",NA
"Rhamnaceae/Vitaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Aquifoliaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fagus grandifolia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
