"target","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","match"
"Unknown (inaperturate, psilate)","NISP","pollen/spore",NA,"Unidentified","UNID",NA,NA
"cf. Adiantum","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Cupressaceae/Taxaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Fraxinus quadrangulata/F. nigra-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Microspheres","grains/ml","counted",NA,"Laboratory analyses","LABO",NA,NA
"Balsaminaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cannabaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Maclura","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Pontederia","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Oxalidaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Alismataceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Algae (type A)","NISP","cyst",NA,"Algae","ALGA",NA,NA
"Algae (type B)","NISP","cyst",NA,"Algae","ALGA",NA,NA
"Alternanthera","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Amorpha cf. A. canescens","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Arabis","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cactaceae","NISP","pollen",NA,"Vascular plants","SUCC",NA,NA
"Celastrus scandens","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Hottonia palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"cf. Stratiotes","NISP","pollen",NA,"Vascular plants","SEED",NA,NA
"Cladosporium","NISP","spore",NA,"Fungi","FUNG",NA,NA
"Dinoflagellata","NISP","hystrichosphere cyst",NA,"Dinoflagellates","DINO",NA,NA
"Filipendula rubra","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Liliaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lilium philadelphicum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Lonicera hirsuta","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Lotus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Matteuccia/Onoclea","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Melilotus","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Nymphoides-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Papaveraceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pediastrum boryanum","NISP","colony",NA,"Algae","ALGA",NA,NA
"Pediastrum duplex","NISP","colony",NA,"Algae","ALGA",NA,NA
"Pediastrum simplex","NISP","colony",NA,"Algae","ALGA",NA,NA
"Pediastrum undiff.","NISP","colony",NA,"Algae","ALGA",NA,NA
"Phlox pilosa","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Polypodiophyta (without perine)","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Polypodiophyta (with perine)","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Polypodium vulgare","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Potamogeton pectinatus-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Ranunculus sp.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Sambucus racemosa","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Tofieldia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Trifolium pratense-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Unknown (pre-Quaternary)","NISP","palynomorph",NA,"Unidentified","UNID",NA,NA
"Algae (type C)","NISP","cyst",NA,"Algae","ALGA",NA,NA
"Lonicera canadensis","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Potamogeton natans-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Araceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Bistorta officinalis-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Boraginaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Centaurea","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Cuscuta","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Hydrocharis","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Linum","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Prunella-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Scutellaria-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Viola palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,NA
"Araceae cf. Calla","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Primulaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Rhus sp.","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"Hydrodictyon","NISP","colony",NA,"Algae","ALGA",NA,NA
"Algae undiff.","NISP","cyst (reticulate)",NA,"Algae","ALGA",NA,NA
"Asplenium","NISP","spore",NA,"Vascular plants","VACR",NA,NA
"Houstonia","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Robinia","NISP","pollen",NA,"Vascular plants","TRSH",NA,NA
"cf. Hippuris","NISP","pollen",NA,"Vascular plants","SEED",NA,NA
"cf. Adoxa moschatellina","NISP","pollen",NA,"Vascular plants","UPHE",NA,NA
"Pteridophyta","NISP","spore",NA,"Vascular plants","VACR","Pteridophyta",NA
